,R2_A_44,R2_DREN_8,R2_D34_8,R2_EH2_3,R2_EH2_6,R2_E_44,R2_HULD_586,R2_P_17,R2_VALTHE_N5,R2_VALTHE_A11,Mean,Models
Topp (Eq. 3),0.44,-1.52,0.56,-0.33,0.41,0.5,0.39,0.98,0.88,0.93,0.33,Topp (Eq. 3)
Jac-SchjA (Eq. 4),0.72,-0.98,0.02,-0.04,0.68,0.7,0.68,0.85,0.5,0.66,0.38,Jac-SchjA (Eq. 4)
HydraProbe (Eq. 28),0.72,-0.78,-0.19,0.01,0.7,0.78,0.7,0.89,0.51,0.66,0.4,HydraProbe (Eq. 28)
Nadler (Eq. A1),0.59,-1.09,-0.1,0.2,0.6,0.2,0.59,-0.15,-0.94,-0.56,-0.07,Nadler (Eq. A1)
Jac-SchjB (Eq. A2),0.8,-0.97,-1.21,-0.25,0.78,0.72,0.79,0.74,-0.09,0.25,0.15,Jac-SchjB (Eq. A2)
Malicki (Eq. A3),0.35,-1.08,0.02,-0.52,0.48,0.57,0.49,0.97,0.78,0.89,0.29,Malicki (Eq. A3)
Steel-Endr (Eq. A4),-0.13,-2.63,0.96,-0.85,-0.13,-0.06,-0.16,0.89,0.92,0.89,-0.03,Steel-Endr (Eq. A4)
Logsdon (Eq. A5),0.74,-1.02,-0.35,0.05,0.7,0.57,0.7,0.59,0.2,0.41,0.26,Logsdon (Eq. A5)
CRIM (Eq. 6),0.18,-1.69,0.77,-0.62,0.18,0.36,0.23,0.97,0.95,0.96,0.23,CRIM (Eq. 6)
Linde (Eq. 8),,,,,,,,,,,,Linde (Eq. 8)
Wunderlich (Eq. 10),,,,,,,,,,,,Wunderlich (Eq. 10)
Endr-Redm (Eq. 12),,,,,,,,,,,,Endr-Redm (Eq. 12)
Peplinski (Eq. A6),-6.22,-13.86,-85.12,-1.61,-9.38,-19.62,-7.6,-19.46,-40.43,-31.64,-23.49,Peplinski (Eq. A6)
Sen (Eq. A9),,,,,,,,,,,,Sen (Eq. A9)
Feng-Sen (Eq. A11),,,,,,,,,,,,Feng-Sen (Eq. A11)
LR (Eq. 5),0.98,0.88,1.0,0.99,0.99,0.94,0.99,0.99,0.96,0.97,0.97,LR (Eq. 5)
Linde (Eq. 7),0.98,0.88,0.99,0.99,0.99,0.93,0.99,0.99,0.97,0.97,0.97,Linde (Eq. 7)
Wunderlich (Eq. 9),0.98,0.96,0.99,0.99,0.99,0.99,0.99,1.0,0.97,0.97,0.98,Wunderlich (Eq. 9)
Endr-Redm (Eq. 11),0.98,0.86,0.99,0.89,0.98,0.9,0.99,0.98,0.96,0.96,0.95,Endr-Redm (Eq. 11)
Dobson (Eq. A7),0.97,0.94,0.58,0.95,-0.46,0.98,0.97,0.96,0.89,0.96,0.77,Dobson (Eq. A7)
Sen (Eq. A8),0.98,0.81,0.99,0.84,0.99,0.92,0.99,0.98,0.98,0.98,0.95,Sen (Eq. A8)
Feng-Sen (Eq. A10),0.94,0.68,0.94,0.76,0.94,0.75,0.93,0.93,0.96,0.98,0.88,Feng-Sen (Eq. A10)
LR (Eq. 36),0.97,0.87,0.93,0.97,0.91,0.84,0.96,0.99,0.96,0.95,0.93,LR (Eq. 36)
Linde (Eq. 37),0.92,0.87,0.96,0.99,0.95,0.92,0.89,0.98,0.96,0.95,0.94,Linde (Eq. 37)
Wunderlich (Eq. 38),0.82,0.58,0.89,0.67,0.96,0.85,0.78,0.98,0.96,0.96,0.85,Wunderlich (Eq. 38)
Endr-Redm (Eq. 39),0.96,0.85,0.93,0.89,0.95,0.84,0.95,0.98,0.96,0.95,0.93,Endr-Redm (Eq. 39)
Sen (Eq. 40),0.89,0.82,0.76,0.84,0.98,0.91,0.91,0.98,0.98,0.97,0.9,Sen (Eq. 40)
Feng-Sen (Eq. 41),0.91,0.63,0.9,0.8,0.94,0.72,0.9,0.93,0.95,0.96,0.86,Feng-Sen (Eq. 41)
